,pi1S,pi2S,pi3S,pi1P,pi2P,pi3P,ii1S,ii2S,ii3S,ii1P,ii2P,ii3P,fi1S,fi2S,fi3S,fi1P,fi2P,fi3P,pc1S,pc2S,pc3S,pc1P,pc2P,pc3P,ps1S,ps2S,ps3S,ps1P,ps2P,ps3P,ai1S,ai2S,ai3S,ai1P,ai2P,ai3P,is1S,is2S,is3S,is1P,is2P,is3P,pI2S,pI1P,pI2P,inf,pP,ppMS,ppMP,ppFS,ppFP
abaisser,abEs,abEs,abEs,abEsô,abEsE,abEs,abEsE,abEsE,abEsE,abEsjô,abEsjE,abEsE,abEs9rE,abEs9ra,abEs9ra,abEs9rô,abEs9rE,abEs9rô,abEs9rE,abEs9rE,abEs9rE,abEs9rjô,abEs9rjE,abEs9rE,abEs,abEs,abEs,abEsjô,abEsjE,abEs,abEsE,,abEsa,abEsam,,abEsEr,,abEs,abEsa,,,,abEs,abEsô,abEsE,abEsE,abEsâ,abEsE,abEsE,abEsE,abEsE
abandonner,abâdOn,abâdOn,abâdOn,abâdOnô,abâdOnE,abâdOn,abâdOnE,abâdOnE,abâdOnE,abâdOnjô,abâdOnjE,abâdOnE,abâdOn9rE,abâdOn9ra,abâdOn9ra,abâdOn9rô,abâdOn9rE,abâdOn9rô,abâdOn9rE,abâdOn9rE,abâdOn9rE,abâdOn9rjô,abâdOn9rjE,abâdOn9rE,abâdOn,abâdOn,abâdOn,abâdOnjô,abâdOnjE,abâdOn,abâdOnE,abâdOna,abâdOna,abâdOnam,,abâdOnEr,,abâdOn,abâdOna,,,,abâdOn,abâdOnô,abâdOnE,abâdOnE,abâdOnâ,abâdOnE,abâdOnE,abâdOnE,abâdOnE
abasourdir,abazurdi,abazurdi,abazurdi,abazurdisô,abazurdisE,abazurdis,abazurdisE,abazurdisE,abazurdisE,abazurdizjô,abazurdisjE,abazurdisE,abazurdirE,abazurdira,abazurdira,abazurdirô,abazurdirE,abazurdirô,abazurdirE,abazurdirE,abazurdirE,abazurdirjô,abazurdirjE,abazurdirE,abazurdis,abazurdis,abazurdis,abazurdizjô,abazurdisjE,abazurdis,abazurdi,abazurdi,abazurdi,abazurdim,,abazurdir,abazurdis,abazurdis,abazurdi,,abazurdisjE,,abazurdi,abazurdisô,abazurdisE,abazurdir,abazurdisâ,abazurdi,abazurdi,abazurdi,abazurdi
abattre,aba,aba,aba,abatô,abatE,abat,abatE,abatE,abatE,abatjô,abatjE,abatE,abatrE,abatra,abatra,abatrô,abatrE,abatrô,abatrE,abatrE,abatrE,abatrijô,abatrijE,abatrE,abat,abat,abat,abatjô,abatjE,abat,abatE,abati,abati,abatim,,abatir,abatis,abat,abati,abatisjô,abatisjE,,aba,abatô,abatE,abatr,abatâ,abaty,abaty,abaty,abaty
abdiquer,abdik,abdik,abdik,abdikô,abdikE,abdik,abdikE,abdikE,abdikE,abdikjô,abdikjE,abdikE,abdik9rE,abdik9ra,abdik9ra,abdik9rô,abdik9rE,abdik9rô,abdik9rE,abdik9rE,abdik9rE,abdik9rjô,abdik9rjE,abdik9rE,abdik,abdik,abdik,abdikjô,abdikjE,abdik,abdikE,,abdika,abdikam,,abdikEr,,abdik,,,,,abdik,abdikô,abdikE,abdikE,abdikâ,abdikE,abdikE,abdikE,abdikE
abhorrer,abOr,abOr,abOr,abOrô,abOrE,abOr,abOrE,abOrE,abOrE,abOrjô,abOrjE,abOrE,abOr9rE,abOr9ra,abOr9ra,abOr9rô,abOr9rE,abOr9rô,abOr9rE,abOr9rE,abOr9rE,abOr9rjô,abOr9rjE,abOr9rE,abOr,abOr,abOr,abOrtjô,abOrjE,abOr,abOrE,,abOra,abOram,,abOrEr,,abOr,,,,,abOr,abOrô,abOrE,abOrE,abOrâ,abOrE,abOrE,abOrE,abOrE
abjurer,abZyr,abZyr,abZyr,abZyrô,abZyrE,abZyr,abZyrE,abZyrE,abZyrE,abZyrjô,abZyrjE,abZyrE,abZyr9rE,abZyr9ra,abZyr9ra,abZyr9rô,abZyr9rE,abZyr9rô,abZyr9rE,abZyr9rE,abZyr9rE,abZyr9rjô,abZyr9rjE,abZyr9rE,abZyr,abZyr,abZyr,abZyrjô,abZyrjE,abZyr,abZyrE,,abZyra,abZyram,,abZyrEr,,abZyr,,,,,abZyr,abZyrô,abZyrE,abZyrE,abZyrâ,abZyrE,abZyrE,abZyrE,abZyrE
abolir,abOli,abOli,abOli,abOlisô,abOlisE,abOlis,abOlisE,abOlisE,abOlisE,abOlisjô,abOlisjE,abOlisE,abOlirE,abOlira,abOlira,abOlirô,abOlirE,abOlirô,abOlirE,abOlirE,abOlirE,abOlis9rjô,abOlirjE,abOlirE,abOlis,abOlis,abOlis,abOlisjô,abOlisjE,abOlis,abOlisE,abOli,abOli,abOlisam,,abOlir,abOlis,abOlis,abOli,,abOlisjE,,abOli,abOlisô,abOlisE,abOlir,abOlisâ,abOli,abOli,abOli,abOli
abonder,abôd,abôd,abôd,abôdô,abôdE,abôd,abôdE,abôdE,abôdE,abôdjô,abôdjE,abôdE,abôd9rE,abôd9ra,abôd9ra,abôd9rô,abôd9rE,abôd9rô,abôd9rE,abôd9rE,abôd9rE,abôd9rjô,abôd9rjE,abôd9rE,abôd,abôd,abôd,abôdjô,abôdjE,abôd,abôdE,,abôda,abôdam,,abôdEr,,abôd,,,,,abôd,abôdô,abôdE,abôdE,abôdâ,abôdE,abôdE,abôdE,abôdE
abonner,abOn,abOn,abOn,abOnô,abOnE,abOn,abOnE,abOnE,abOnE,abOnjô,abOnjE,abOnE,abOn9rE,abOn9ra,abOn9ra,abOn9rô,abOn9rE,abOn9rô,abOn9rE,abOn9rE,abOn9rE,abOn9rjô,abOn9rjE,abOn9rE,abOn,abOn,abOn,abOnjô,abOnjE,abOn,abOnE,abOna,abOna,abOnam,,abOnEr,,abOn,abOna,,,,abOn,abOnô,abOnE,abOnE,abOnâ,abOnE,abOnE,abOnE,abOnE
aborder,abOrd,abOrd,abOrd,abOrdô,abOrdE,abOrd,abOrdE,abOrdE,abOrdE,abOrdjô,abOrdjE,abOrdE,abOrd9rE,abOrd9ra,abOrd9ra,abOrd9rô,abOrd9rE,abOrd9rô,abOrd9rE,abOrd9rE,abOrd9rE,abOrd9rjô,abOrd9rjE,abOrd9rE,abOrd,abOrd,abOrd,abOrdjô,abOrdjE,abOrd,abOrdE,abOrda,abOrda,abOrdam,,abOrdEr,,abOrd,abOrda,,,,abOrd,abOrdô,abOrdE,abOrdE,abOrdâ,abOrdE,abOrdE,abOrdE,abOrdE
abouler,abul,abul,abul,abulô,abulE,abul,abulE,abulE,abulE,abuljô,abuljE,abulE,abul9rE,abul9ra,abul9ra,abul9rô,abul9rE,abul9rô,abul9rE,abul9rE,abul9rE,abul9rjô,abul9rjE,abul9rE,abul,abul,abul,abuljô,abuljE,abul,abulE,,abula,abulam,,abulEr,,abul,,,,,abul,abulô,abulE,abulE,abulâ,abulE,abulE,abulE,abulE
aboutir,abuti,abuti,abuti,abutisô,abutisE,abutis,abutisE,abutisE,abutisE,abutisjô,abutisjE,abutisE,abutirE,abutira,abutira,abutirô,abutirE,abutirô,abutirE,abutirE,abutirE,abutirjô,abutirjE,abutirE,abutis,abutis,abutis,abutisjô,abutisjE,abutis,abuti,abuti,abuti,abutisam,,abutir,abutis,abutis,abuti,abutisjô,abutisjE,,abuti,abutisô,abutisE,abutir,abutisâ,abuti,abuti,abuti,abuti
aboyer,abwa,abwa,abwa,abwajô,abwajE,abwa,abwajE,abwajE,abwajE,abwajô,abwajE,abwajE,abwarE,abwara,abwara,abwarô,abwarE,abwarô,abwarE,abwarE,abwarE,abwaj9rjô,abwarjE,abwarE,abwa,abwa,abwa,abwajô,abwajE,abwa,abwajE,,abwaja,abwajam,,abwajEr,,abwa,,,,,abwa,abwajô,abwajE,abwajE,abwajâ,abwajE,abwajE,abwajE,abwajE
abreuver,abr9v,abr9v,abr9v,abr9vô,abr9vE,abr9v,abr9vE,abr9vE,abr9vE,abr9vjô,abr9vjE,abr9vE,abr9v9rE,abr9v9ra,abr9v9ra,abr9v9rô,abr9v9rE,abr9v9rô,abr9v9rE,abr9v9rE,abr9v9rE,abr9v9rjô,abr9v9rjE,abr9v9rE,abr9v,abr9v,abr9v,abr9vjô,abr9vjE,abr9v,abr9vE,abr9va,abr9va,abr9vam,,abr9vEr,,abr9v,abr9va,,,,abr9v,abr9vô,abr9vE,abr9vE,abr9vâ,abr9vE,abr9vE,abr9vE,abr9vE
abriter,abrit,abrit,abrit,abritô,abritE,abrit,abritE,abritE,abritE,abritjô,abritjE,abritE,abrit9rE,abrit9ra,abrit9ra,abrit9rô,abrit9rE,abrit9rô,abrit9rE,abrit9rE,abrit9rE,abrit9rjô,abrit9rjE,abrit9rE,abrit,abrit,abrit,abritjô,abritjE,abrit,abritE,abrita,abrita,abritam,,abritEr,,abrit,abrita,,,,abrit,abritô,abritE,abritE,abritâ,abritE,abritE,abritE,abritE
